timestamp,rotationRoll,rotationPitch,direction
2025-02-17 01:26:23.462854,-1.0,-17.0,157.0
2025-02-17 01:26:24.469298,-1.0,-17.0,159.0
2025-02-17 01:26:24.476988,-3.0,-17.0,158.0
2025-02-17 01:26:24.488042,-1.0,-17.0,158.0
2025-02-17 01:26:24.490435,-2.0,-12.0,158.0
2025-02-17 01:26:24.504160,-1.0,-14.0,159.0
2025-02-17 01:26:24.506071,-13.0,-15.0,158.0
2025-02-17 01:26:25.518665,0.0,-16.0,159.0
2025-02-17 01:26:25.523579,0.0,-18.0,158.0
2025-02-17 01:26:25.537579,1.0,-19.0,157.0
2025-02-17 01:26:25.538579,1.0,-18.0,158.0
2025-02-17 01:26:25.541579,-1.0,-16.0,160.0
2025-02-17 01:26:25.553582,0.0,-18.0,157.0
2025-02-17 01:26:26.572556,0.0,-18.0,157.0
2025-02-17 01:26:26.581556,-1.0,-15.0,159.0
2025-02-17 01:26:26.598556,-1.0,-16.0,158.0
2025-02-17 01:26:26.600556,0.0,-18.0,158.0
2025-02-17 01:26:26.614556,0.0,-17.0,158.0
2025-02-17 01:26:26.616556,0.0,-18.0,157.0
2025-02-17 01:26:27.634536,-1.0,-16.0,157.0
2025-02-17 01:26:27.634536,-2.0,-16.0,158.0
2025-02-17 01:26:27.634536,-2.0,-16.0,158.0
2025-02-17 01:26:27.634536,-1.0,-18.0,158.0
2025-02-17 01:26:27.635692,-1.0,-16.0,159.0
2025-02-17 01:26:27.635692,0.0,-17.0,157.0
2025-02-17 01:26:28.648582,-1.0,-17.0,158.0
2025-02-17 01:26:28.667741,-1.0,-17.0,158.0
2025-02-17 01:26:28.670741,0.0,-17.0,157.0
2025-02-17 01:26:28.670741,-1.0,-17.0,158.0
2025-02-17 01:26:28.684362,0.0,-17.0,158.0
2025-02-17 01:26:28.687362,-1.0,-16.0,159.0
2025-02-17 01:26:29.698898,-1.0,-17.0,158.0
2025-02-17 01:26:29.703973,-1.0,-14.0,158.0
2025-02-17 01:26:29.715973,0.0,-15.0,157.0
2025-02-17 01:26:29.717315,0.0,-17.0,158.0
2025-02-17 01:26:29.730780,-1.0,-15.0,158.0
2025-02-17 01:26:29.732828,-1.0,-14.0,159.0
2025-02-17 01:26:30.749294,-1.0,-15.0,157.0
2025-02-17 01:26:30.754271,0.0,-16.0,158.0
2025-02-17 01:26:30.768517,0.0,-17.0,158.0
2025-02-17 01:26:30.770000,0.0,-16.0,157.0
2025-02-17 01:26:30.784402,-7.0,-14.0,162.0
2025-02-17 01:26:30.797875,0.0,-15.0,158.0
2025-02-17 01:26:31.809480,-1.0,-13.0,158.0
2025-02-17 01:26:31.819389,6.0,-15.0,153.0
2025-02-17 01:26:31.834647,-2.0,-14.0,159.0
2025-02-17 01:26:31.836655,0.0,-12.0,158.0
2025-02-17 01:26:31.849103,-2.0,-14.0,161.0
2025-02-17 01:26:31.851308,-2.0,-15.0,159.0
2025-02-17 01:26:32.863404,1.0,-14.0,156.0
2025-02-17 01:26:32.873723,0.0,-13.0,158.0
2025-02-17 01:26:32.886723,0.0,-16.0,156.0
2025-02-17 01:26:32.889520,0.0,-14.0,157.0
2025-02-17 01:26:32.901522,0.0,-14.0,158.0
2025-02-17 01:26:32.903522,0.0,-16.0,156.0
2025-02-17 01:26:33.922391,0.0,-13.0,158.0
2025-02-17 01:26:33.931582,0.0,-15.0,158.0
2025-02-17 01:26:33.945760,0.0,-14.0,158.0
2025-02-17 01:26:33.946758,0.0,-14.0,158.0
2025-02-17 01:26:33.960760,0.0,-14.0,159.0
2025-02-17 01:26:33.961759,0.0,-14.0,157.0
2025-02-17 01:26:34.977196,0.0,-14.0,158.0
2025-02-17 01:26:34.983196,0.0,-14.0,160.0
2025-02-17 01:26:34.997196,0.0,-14.0,157.0
2025-02-17 01:26:34.998196,0.0,-14.0,158.0
2025-02-17 01:26:35.012197,-1.0,-13.0,159.0
2025-02-17 01:26:35.014196,-1.0,-13.0,159.0
2025-02-17 01:26:36.032834,-1.0,-12.0,158.0
2025-02-17 01:26:36.039832,0.0,-14.0,159.0
2025-02-17 01:26:36.051832,0.0,-14.0,159.0
2025-02-17 01:26:36.053832,-1.0,-14.0,158.0
2025-02-17 01:26:36.067032,0.0,-14.0,157.0
2025-02-17 01:26:36.069033,-1.0,-13.0,157.0
2025-02-17 01:26:37.071581,-1.0,-14.0,156.0
2025-02-17 01:26:37.077006,-1.0,-13.0,156.0
2025-02-17 01:26:37.090007,-1.0,-14.0,157.0
2025-02-17 01:26:37.091540,-6.0,-1.0,156.0
2025-02-17 01:26:37.105763,-3.0,14.0,156.0
2025-02-17 01:26:37.107596,7.0,1.0,161.0
2025-02-17 01:26:38.116857,11.0,-21.0,147.0
2025-02-17 01:26:38.126858,-37.0,-33.0,163.0
2025-02-17 01:26:38.140353,-47.0,-17.0,135.0
2025-02-17 01:26:38.142354,8.0,3.0,148.0
2025-02-17 01:26:38.155354,18.0,17.0,168.0
2025-02-17 01:26:38.157354,11.0,-4.0,168.0
2025-02-17 01:26:39.165002,-29.0,-38.0,145.0
2025-02-17 01:26:39.172002,-42.0,-39.0,141.0
2025-02-17 01:26:39.185511,-54.0,22.0,144.0
2025-02-17 01:26:39.187510,0.0,8.0,167.0
2025-02-17 01:26:39.190510,22.0,6.0,171.0
2025-02-17 01:26:39.202959,2.0,-1.0,178.0
2025-02-17 01:26:40.218708,-23.0,-42.0,144.0
2025-02-17 01:26:40.222725,-41.0,-48.0,148.0
2025-02-17 01:26:40.236725,-73.0,-15.0,142.0
2025-02-17 01:26:40.238725,-43.0,28.0,136.0
2025-02-17 01:26:40.241539,-3.0,24.0,151.0
2025-02-17 01:26:40.254805,11.0,-5.0,164.0
2025-02-17 01:26:41.271705,-2.0,-22.0,160.0
2025-02-17 01:26:41.276738,-39.0,-38.0,147.0
2025-02-17 01:26:41.290305,-62.0,-31.0,148.0
2025-02-17 01:26:41.292304,-60.0,6.0,138.0
2025-02-17 01:26:41.305319,-11.0,21.0,151.0
2025-02-17 01:26:41.308305,5.0,5.0,156.0
2025-02-17 01:26:42.317223,-12.0,-17.0,149.0
2025-02-17 01:26:42.335159,-41.0,-39.0,139.0
2025-02-17 01:26:42.337158,-74.0,-17.0,144.0
2025-02-17 01:26:42.339158,-27.0,-1.0,131.0
2025-02-17 01:26:42.352158,-3.0,-9.0,150.0
2025-02-17 01:26:42.354438,4.0,-10.0,154.0
2025-02-17 01:26:43.370632,10.0,-8.0,161.0
2025-02-17 01:26:43.380139,6.0,-9.0,165.0
2025-02-17 01:26:43.394141,2.0,-10.0,158.0
2025-02-17 01:26:43.397141,0.0,-10.0,153.0
2025-02-17 01:26:43.409975,-15.0,-7.0,154.0
2025-02-17 01:26:43.411976,-21.0,-4.0,146.0
2025-02-17 01:26:44.431947,-30.0,0.0,147.0
2025-02-17 01:26:44.442964,-34.0,4.0,147.0
2025-02-17 01:26:44.455967,-41.0,-1.0,144.0
2025-02-17 01:26:44.457966,-45.0,-4.0,140.0
2025-02-17 01:26:44.469967,-48.0,-6.0,140.0
2025-02-17 01:26:44.471968,-55.0,-1.0,140.0
2025-02-17 01:26:45.483854,-53.0,-5.0,141.0
2025-02-17 01:26:45.487855,-52.0,-5.0,141.0
2025-02-17 01:26:45.502855,-54.0,-3.0,141.0
2025-02-17 01:26:45.504865,-54.0,-4.0,141.0
2025-02-17 01:26:45.506855,-53.0,-5.0,141.0
2025-02-17 01:26:45.519855,-54.0,-4.0,140.0
2025-02-17 01:26:46.530050,-55.0,-4.0,142.0
2025-02-17 01:26:46.537047,-56.0,-4.0,142.0
2025-02-17 01:26:46.550279,-55.0,-4.0,142.0
2025-02-17 01:26:46.552279,-55.0,-4.0,141.0
2025-02-17 01:26:46.566279,-56.0,-4.0,142.0
2025-02-17 01:26:46.567279,-56.0,-4.0,142.0
2025-02-17 01:26:47.581423,-56.0,-5.0,142.0
2025-02-17 01:26:47.592936,-59.0,-3.0,143.0
2025-02-17 01:26:47.608935,-58.0,-4.0,142.0
2025-02-17 01:26:47.610936,-58.0,-3.0,142.0
2025-02-17 01:26:47.623936,-59.0,-3.0,143.0
2025-02-17 01:26:47.625936,-58.0,-3.0,142.0
2025-02-17 01:26:48.635065,-58.0,-4.0,142.0
2025-02-17 01:26:48.643792,-57.0,-3.0,143.0
2025-02-17 01:26:48.657790,-55.0,-5.0,142.0
2025-02-17 01:26:48.658790,-55.0,-4.0,142.0
2025-02-17 01:26:48.671792,-52.0,-8.0,143.0
2025-02-17 01:26:48.672793,-50.0,-1.0,141.0
2025-02-17 01:26:49.689541,-53.0,-2.0,143.0
2025-02-17 01:26:49.701446,-49.0,-1.0,141.0
2025-02-17 01:26:49.713446,-42.0,-1.0,142.0
2025-02-17 01:26:49.715446,1.0,8.0,150.0
2025-02-17 01:26:49.728446,30.0,10.0,181.0
2025-02-17 01:26:49.730446,50.0,11.0,197.0
2025-02-17 01:26:50.745593,64.0,7.0,192.0
2025-02-17 01:26:50.754682,65.0,7.0,199.0
2025-02-17 01:26:50.769681,67.0,6.0,197.0
2025-02-17 01:26:50.771681,71.0,8.0,202.0
2025-02-17 01:26:50.774146,75.0,7.0,201.0
2025-02-17 01:26:50.786147,77.0,7.0,204.0
2025-02-17 01:26:51.801037,76.0,7.0,203.0
2025-02-17 01:26:51.811924,75.0,7.0,203.0
2025-02-17 01:26:51.823923,75.0,8.0,204.0
2025-02-17 01:26:51.826923,76.0,8.0,204.0
2025-02-17 01:26:51.838495,75.0,8.0,205.0
2025-02-17 01:26:51.841495,74.0,7.0,204.0
